Name,Class,Overall Score,Teaching,Research,Citations,Industry Income,International Outlook
Boston University,0,62.542,77.862,61.965,85.552,25.039,35.63
University of Sydney,0,62.499,69.942,81.586,67.603,66.098,71.893
University of Bristol,0,62.487,63.786,68.329,80.883,31.641,69.804
Australian National University,0,61.976,70.409,87.774,57.478,41.463,89.823
University of Queensland,0,61.793,61.49,77.424,69.186,70.715,78.472
University of Minnesota,0,61.456,67.942,73.027,79.065,97.508,21.429
University of Amsterdam,0,61.252,63.613,78.254,80.101,56.078,44.084
Maastricht University,0,61.223,51.42,53.278,80.138,93.088,87.917
Erasmus University Rotterdam,0,60.734,50.535,66.973,85.294,47.849,57.452
University of Groningen,0,60.695,56.155,69.036,77.358,89.124,48.686
University of Glasgow,0,60.237,57.154,63.197,82.111,26.205,75.291
Monash University,0,59.434,62.106,72.25,63.258,75.044,76.171
Uppsala University,0,59.403,61.55,72.682,75.688,33.445,50.097
University of Southern California,0,58.869,69.322,64.664,80.781,32.053,39.08
University of Helsinki,0,58.658,66.346,69.984,72.323,26.221,43.006
University of Zurich,0,58.578,69.643,42.619,81.999,37.639,83.655
University of Warwick,0,57.935,62.491,65.989,68.583,28.789,81.82
Durham University,0,57.67,62.955,61.004,74.293,27.634,77.252
Emory University,0,57.209,67.014,45.813,83.857,42.285,33.953
University of St Andrews,0,57.167,66.617,59.942,62.394,24.767,88.87
Ohio State University,0,57.134,69.343,59.703,75.038,46.365,38.33
University of Copenhagen,0,56.993,66.005,49.316,79.233,38.534,71.255
University of Sheffield,0,56.811,56.934,64.242,71.885,32.359,68.837
Queen Mary University of London,0,56.681,46.367,54.391,81.708,28.435,85.486
Lund University,0,56.642,55.66,65.882,71.586,63.981,62.529
University of Bern,0,56.393,46.614,53.497,73.839,77.692,75.983
Universität Basel,0,56.307,47.923,35.815,80.747,99.768,89.425
University of Notre Dame,0,55.967,62.878,59.419,73.97,28.088,37.032
University of Tübingen,0,55.864,57.57,73.241,62.503,52.347,44.86
University of Southampton,0,55.003,53.097,58.707,69.689,28.979,77.94
Tufts University,0,54.946,57.456,40.571,81.855,53.87,33.195
"University of California, Irvine",0,54.922,53.338,52.313,81.618,42.24,43.962
Ghent University,0,54.201,52.163,65.837,64.817,84.066,42.715
"University of Maryland, College Park",0,54.154,62.961,56.632,76.949,26.872,29.962
The University of Western Australia,0,54.025,45.171,54.551,68.143,57.793,86.028
Dartmouth College,0,53.901,67.672,27.563,81.588,34.635,23.913
Friedrich-Alexander-Universität Erlangen-Nürnberg,0,53.891,64.096,42.944,58.705,98.881,32.7
University of Birmingham,0,53.836,51.797,53.848,71.736,27.601,67.179
University of Lausanne,0,53.475,42.55,53.719,70.818,49.207,77.679
University of Exeter,0,53.281,49.151,44.016,78.178,25.615,75.134
University of Geneva,0,53.154,47.986,43.165,71.736,66.048,95.975
Lancaster University,0,53.14,45.597,49.169,78.225,26.376,79.776
Université Catholique de Louvain,0,53.048,50.845,46.659,74.1,44.28,62.55
University of Leeds,0,52.947,59.032,57.494,64.715,29.067,59.732
University of Colorado Boulder,0,52.938,54.309,48.424,83.66,29.918,25.113
"Royal Holloway, University of London",0,52.928,45.691,34.401,83.76,24.149,89.252
University of Massachusetts,0,52.889,56.758,52.233,79.873,45.425,36.367
University of York,0,52.557,57.13,56.036,63.471,24.604,70.429
Purdue University,0,52.452,66.906,74.016,48.264,23.016,52.914
Case Western Reserve University,0,52.369,56.042,37.372,80.175,28.493,25.654
University of Twente,0,52.067,44.007,50.831,63.682,87.645,64.958
University of Sussex,0,51.992,43.74,42.898,79.065,24.418,77.554
Chinese University of Hong Kong,0,51.966,56.709,60.432,57.228,31.615,66.786
Stockholm University,0,51.95,47.633,56.793,76.897,25.745,42.384
RWTH Aachen University,0,51.947,64.966,72.982,43.8,96.861,38.208
"University of California, Santa Cruz",0,51.926,43.31,43.07,87.166,30.294,39.872
KTH Royal Institute of Technology,0,51.547,50.64,57.319,55.572,72.292,75.144
Aarhus University,0,51.463,49.525,49.883,73.641,23.047,64.749
Eindhoven University of Technology,0,51.398,43.887,50.367,67.329,50.474,57.55
University of Florida,0,51.259,65.514,68.104,52.914,23.016,19.615
Technical University of Denmark,0,50.651,50.651,40.232,69.689,43.361,77.245
University of Liverpool,0,50.594,44.311,38.578,75.688,27.524,78.106
École Polytechnique,0,50.583,59.219,49.935,54.919,77.078,90.984
Vrije Universiteit Amsterdam,0,50.531,38.776,39.662,82.409,53.27,41.026
University of Rochester,0,50.344,54.37,35.225,76.686,31.148,42.753
Pohang University of Science and Technology,0,50.15,59.248,54.223,49.419,99.989,21.852
University of East Anglia,0,49.22,43.021,30.422,81.245,23.291,70.44
University of Nottingham,0,49.21,54.332,47.634,61.281,28.835,65.529
Freie Universität Berlin,0,49.097,70.67,79.845,30.312,29.355,56.871
University of Auckland,0,48.872,43.178,48.154,63.151,72.209,79.684
Boston College,0,48.422,48.729,33.276,76.579,40.226,47.316
University of Bergen,0,48.357,44.961,36.014,71.511,30.394,58.716
"University of California, Riverside",0,48.037,35.049,41.206,80.713,36.207,49.992
University of Leicester,0,47.962,43.612,32.914,72.467,25.368,74.457
Brandeis University,0,47.282,37.671,25.177,85.509,32.594,41.036
University of Antwerp,0,46.941,37.687,39.716,68.844,53.458,54.338
University of Aberdeen,0,46.928,38.385,33.97,69.772,29.981,81.233
University of Gothenburg,0,46.603,38.999,43.213,71.885,25.014,44.884
Karlsruhe Institute of Technology,0,46.602,49.29,58.511,50.698,99.128,41.96
Technische Universität Dresden,0,46.253,49.236,52.037,46.353,99.507,33.724
University of Waterloo,0,46.241,48.988,57.579,47.24,33.451,61.208
"St George’s, University of London",0,46.055,30.134,28.073,86.07,23.02,42.614
Newcastle University,0,46.039,38.832,29.236,72.032,26.651,71.564
University of Trento,0,45.76,35.565,29.962,79.065,40.543,43.79
University of Utah,0,45.577,41.187,35.292,72.609,50.643,17.044
"Birkbeck, University of London",0,45.522,46.949,36.502,63.891,23.457,77.859
University of Iowa,0,45.205,53.409,29.514,66.864,47.374,20.443
University of Dundee,0,45.078,33.397,30.007,74.356,31.109,62.218
College of William and Mary,0,44.961,49.492,16.25,79.149,24,17.04
Wake Forest University,0,44.547,43.127,18.811,82.276,36.217,11.843
Cardiff University,0,44.504,41.156,38.699,65.811,26.233,63.867
Pompeu Fabra University,0,44.448,44.253,31.117,68.93,31.287,45.711
University of Barcelona,0,44.446,54.113,48.607,57.103,25.797,35.437
University of Reading,0,44.268,53.757,43.328,48.118,26.796,72.497
University of Vienna,0,44.253,55.406,60.251,32.786,24.986,85.796
University of Bologna,0,44.242,54.18,41.935,61.842,28.844,28.654
Goethe University Frankfurt,0,44.031,50.745,39.627,58.463,32.092,47.113
Arizona State University,0,43.99,43.005,47.12,69.937,26.589,18.482
Stony Brook University,0,43.985,43.619,28.131,71.586,27.858,41.911
Sungkyunkwan University (SKKU),0,43.771,67.147,68.454,18.941,96.016,23.392
University of Würzburg,0,43.722,37.936,40.518,59.186,41.327,39.716
Michigan State University,0,43.277,46.724,50.14,63.151,26.765,41.701
Ulm University,0,43.247,41.293,26.852,65.119,51.601,42.855
Joseph Fourier University,0,43.119,42.273,28.174,62.721,26.236,49.989
The University of Texas at Dallas,0,42.848,29.374,24.581,79.834,35.546,39.216
Medical University of Vienna,0,42.722,33.626,19.532,75.917,28.32,69.425
University of Konstanz,0,42.628,44.165,51.398,36.532,89.157,45.673
Swedish University of Agricultural Sciences,0,42.402,39.533,39.01,55.572,99.848,37.602
University of Duisburg-Essen,0,42.269,36.799,29.229,63.365,77.074,33.642
Queen’s University Belfast,0,42.215,40.793,37.731,53.05,27.092,58.808
University of Kiel,0,42.186,38.217,27.818,72.323,23.016,36.768
Simon Fraser University,0,42.164,29.903,30.558,71.359,35.99,49.902
University of Otago,0,42.151,41.056,34.151,53.185,26.112,79.135
Tilburg University,0,42.084,41.538,50.545,40.734,50.555,49.732
École Normale Supérieure de Lyon,0,42.077,57.905,33.51,40.425,26.352,56.141
Mines ParisTech,0,41.974,47.26,35.932,44.858,99.829,44.025
Chalmers University of Technology,0,41.347,46.889,43.465,33.72,73.862,67.116
University of Fribourg,0,40.993,33.367,29.472,52.914,53.977,78.9
University at Buffalo,0,40.887,39.458,37.479,53.185,37.455,44.835
University of South Florida,0,40.601,28.972,33.579,60.248,99.526,28.694
The Hong Kong Polytechnic University,0,40.432,40.467,44.918,42.581,38.672,66.151
National Taiwan University,0,40.179,71.823,75.579,8.439,42.976,16.014
Colorado School of Mines,0,39.983,37.289,39.682,52.367,78.641,23.578
Università degli Studi di Trieste,0,39.834,30.89,20.991,72.891,26.882,41.105
Tel Aviv University,0,39.759,50.47,64.209,23.46,36.583,34.453
Syracuse University,0,39.745,40.509,22.051,66.676,30.471,23.919
University of Stuttgart,0,39.423,46.515,51.941,23.175,99.651,41.299
Western University,0,39.302,45.39,36.05,36.063,52.858,57.479
University of Victoria,0,38.933,25.533,25.589,63.787,30.733,60.948
University of Iceland,0,38.772,18.262,14.675,83.474,23.165,52.054
University of São Paulo,0,38.747,76.647,79.373,0.056,27.882,13.354
University of Bonn,0,38.591,28.046,37.356,68.32,23.016,52.181
Vrije Universiteit Brussel,0,38.407,31.13,23.613,55.83,71.197,52.876
University of Pavia,0,38.261,28.216,27.394,64.1,62.886,32.931
Queen’s University,0,37.82,42.655,42.129,35.281,47.456,44.927
University of Milan-Bicocca,0,37.777,28.12,26.605,63.471,40.062,30.879
Technische Universität Darmstadt,0,37.682,40.489,49.651,23.603,98.375,43.099
Laval University,0,37.239,43.085,37.591,38.717,50.684,46.571
University of Innsbruck,0,36.9,29.584,21.314,51.537,33.771,92.089
Tokyo Institute of Technology,0,36.751,63.98,67.57,4.159,64.474,20.775
Queensland University of Technology,0,36.731,36.786,38.003,35.594,67.431,58.39
Aalto University,0,36.522,40.295,39.896,34.344,54.828,49.931
University of Padua,0,36.24,34.582,26.806,61.281,27.147,29.24
Technion - Israel Institute of Technology,0,36.126,42.6,49.432,31.236,25.579,51.115
Iowa State University,0,36.111,41.884,31.718,49.275,47.213,23.67
University of Southern Denmark,0,35.773,22.586,14.586,71.586,23.058,45.976
Brunel University London,0,35.693,28.45,23.321,47.24,27.47,85.612
University of New Mexico,0,35.555,31.178,14.958,69.772,31.115,18.09
University of Turin,0,35.519,34.377,25.7,53.59,47.46,28.632
Osaka University,0,35.03,66.22,64.201,1.817,70.135,15.881
York University,0,34.936,42.705,28.766,43.039,27.65,43.07
Oregon State University,0,34.77,39.265,36.139,43.039,26.695,27.928
Bayreuth University,0,34.649,35.533,41.132,29.545,49.576,43.212
George Mason University,0,34.338,37.046,23.208,51.537,24.031,23.742
Aberystwyth University,0,34.275,26.932,20.885,54.788,25.552,59.141
Zhejiang University,0,34.224,59.093,60.79,0.292,94.429,10.206
Lappeenranta University of Technology,0,34.146,31.706,31.549,37.781,74.774,41.123
University of Turku,0,33.989,36.237,23.446,42.274,25.882,56.296
University of Milan,0,33.845,39.768,31.336,43.192,34.683,25.784
University of Bath,0,33.803,36.956,31.378,29.087,28.595,72.576
Tohoku University,0,33.732,62.767,59.162,4.02,68.599,16.76
Wayne State University,0,33.629,39.991,14.103,52.092,35.48,16.958
University of Wollongong,0,33.425,30.856,28.223,32.01,51.095,75.998
Florida Institute of Technology,0,33.304,24.072,14.876,56.343,27.837,62.081
Bangor University,0,33.179,26.008,20.388,49.705,23.759,64.972
Deakin University,0,33.013,27.301,18.986,50.557,24.79,59.448
University of Eastern Finland,0,32.832,30.846,21.512,49.131,27.706,34.291
Koç University,0,32.808,26.036,26.512,43.952,77.168,39.043
University of Essex,0,32.637,42.497,36.153,20.536,23.444,81.231
University of Salento,0,32.447,29.404,14.192,57.602,30.375,21.152
University of Nebraska Medical Center,0,32.247,42.877,9.152,47.68,27.987,23.527
University of Pisa,0,32.169,27.594,25.399,56.471,26.074,23.067
Colorado State University,0,32.035,39.915,29.73,41.66,34.842,22.116
University of Nebraska-Lincoln,0,31.875,37.515,32.668,32.165,29.837,31.205
University of Cologne,0,31.818,30.671,27.836,47.534,61.95,41.32
Bogaziçi University,0,31.774,27.276,21.328,50.274,36.216,34.106
State University of Campinas,0,31.271,57.847,51.643,0.067,42.708,11.487
Università degli Studi Roma Tre,0,31.109,26.477,20.925,52.229,31.616,31.265
Yonsei University,0,31.01,50.842,45.807,3.299,69.826,27.132
National Chiao Tung University,0,30.698,42.892,55.427,1.793,95.104,21.674
Linköping University,0,30.221,21.896,8.865,60.596,35.794,40.5
San Diego State University,0,30.146,23.229,25.773,52.092,24.196,13.584
University of Waikato,0,30.083,22.331,12.761,46.945,25.395,72.96
Plymouth University,0,30.045,22.375,18.027,50.838,23.461,47.379
Hong Kong Baptist University,0,29.902,28.573,13.612,43.496,23.759,59.777
University of Stirling,0,29.854,27.958,15.925,40.734,23.99,58.395
National Tsing Hua University,0,29.715,48.229,46.404,6.736,42.869,13.176
University College Cork,0,29.569,34.076,25.388,23.46,40.599,62.348
University of Tampere,0,29.366,29.765,17.131,45.907,33.863,23.956
Nagoya University,0,29.246,58.184,42.15,2.927,87.949,16.669
Vienna University of Technology,0,29.152,21.874,24.932,36.063,81.885,67.988
University of Montana,0,29.13,34.387,13.762,44.708,25.7,11.851
National Taiwan University of Science and Technology,0,29.116,39.858,49.082,2.287,88.902,19.216
Hokkaido University,0,28.999,57.08,44.092,0.46,46.91,16.307
University of Tsukuba,0,28.929,54.676,39.813,1.938,36.616,23.192
Washington State University,0,28.848,36.86,30.9,24.323,50.277,25.087
Swinburne University of Technology,0,28.14,26.123,19.619,29.087,26.741,75.437
University of Crete,0,27.928,21.822,21.278,40.889,28.795,40.151
Universidad de Navarra,0,27.917,44.176,28.402,16.544,56.721,32.222
Victoria University of Wellington,0,27.847,33.177,25.285,16.911,39.119,77.848
Tulane University,0,27.378,31.54,9.093,48.118,26.918,19.092
University of Graz,0,27.328,31.078,18.489,28.783,24.153,59.401
University of South Australia,0,27.259,30.404,23.95,13.652,81.234,76.072
University of Bari Aldo Moro,0,27.25,31.309,23.677,29.545,38.893,22.35
University of Florence,0,26.74,17.592,17.211,54.259,30.145,26.98
Tokyo Metropolitan University,0,26.586,26.091,14.934,44.858,25.627,12.511
Shanghai Jiao Tong University,0,26.424,49.876,47.381,0.247,23.022,15.454
Kyushu University,0,26.361,50.732,37.586,0.935,78.015,15.472
Wuhan University,0,26.304,46.712,34.617,0.009,96.616,25.808
University of Jyväskylä,0,26.21,35.853,17.213,28.025,28.534,38.174
Claude Bernard University Lyon 1,0,26.143,25.843,17.914,36.844,28.792,40.637
Indian Institute of Technology Bombay,0,26.126,52.989,35.445,2.316,36.001,10.082
Novosibirsk State University,0,25.93,55.665,45.488,0.044,32.21,22.408
University of Portsmouth,0,25.882,19.099,10.493,39.339,23.642,66.621
University of Manitoba,0,25.6,29.7,28.684,20.266,35.552,29.793
University of Houston,0,25.6,36.683,29.064,17.912,36.027,20.233
University of Ferrara,0,25.397,19.896,18.325,37.937,30.149,32.4
Aston University,0,25.2,20.737,18.04,25.05,27.247,81.711
Charles University in Prague,0,24.687,44.917,29.735,6.402,23.176,40.475
Curtin University,0,24.56,23.924,23.247,16.911,31.845,86.057
University of Macau,0,24.452,21.459,21.138,15.117,29.207,95.538
Virginia Polytechnic Institute and State University,0,23.605,28.198,24.294,29.087,36.951,16.795
Sun Yat-sen University,0,23.298,40.221,28.057,0.975,74.12,23.824
Carleton University,0,23.054,24.383,23.515,17.035,25.112,46.088
University of Western Sydney,0,22.794,24,21.55,25.196,25.429,35.041
Kansas State University,0,22.478,28.475,21.541,20.401,36.738,29.869
National Sun Yat-Sen University,0,22.065,33.08,38.068,0.351,37.894,10.49
University of Seoul,0,21.461,28.791,18.837,24.904,23.828,13.613
University of Valencia,0,21.277,29.508,23.91,17.533,25.96,30.619
Murdoch University,0,21.259,19.892,15.852,13.982,30.673,79.451
Middle East Technical University,0,20.684,40.76,24.029,3.338,53.194,16.808
University of South Carolina,0,20.645,17.786,11.625,38.872,25.089,13.34
Bilkent University,0,20.579,29.16,19.892,15.117,26.777,34.327
University of Minho,0,20.158,30.264,23.453,7.013,44.905,30.46
Ewha Womans University,0,20.126,30.173,20.027,9.877,50.788,21.208
University of Warsaw,0,19.843,35.554,22.195,4.6,23.424,37.231
University of Lisbon,0,19.735,34.541,22.842,4.206,29.656,38.161
University of Bremen,0,19.501,18.718,17.534,25.343,39.491,37.208
Renmin University of China,0,19.447,42.08,17.643,0.275,36.321,20.521
"Indian Institute of Technology, Roorkee",0,18.531,35.936,19.075,0.297,75.958,7.338
Istanbul Technical University,0,17.262,22.766,26.768,2.823,65.703,13.748
King Mongkut’s University of Technology Thonburi,0,12.535,16.479,14.057,3.378,63.868,15.321
Wuhan University of Technology,0,11.464,19.893,13.419,0.002,60.135,8.018
